property_links,title,address,tags,property_id,price,bedroom,room,bathroom,garage,property_type,property_status,guest_number,address_detail,city,state,zip_code,area,country,class
https://www.bukitvista.com/property/bingin-beach-hideaway-group-villa-with-pool-amp-bbq,bingin beach hideaway group villa pool bbq,"Jl. Pantai Cemongkak Gg. Samuh Sari No.2, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",featur bali vacat rental group friendli stay long stay trend properti new list privat privat pool top trend new,pr0874,161,3,3,3,1,amaz pool island life pool view surf tropic villa,"Bali Vacation Rental, Group Friendly Stay, Long Stay Trend Property, New Listing, Private, Private Pool, Top Trending",6,jl pantai cemongkak gg samuh sari pecatu kec kuta sel kabupaten badung bali,Bali,Bali,80361,Bingin,Indonesia,villa
https://www.bukitvista.com/property/mediterranean-luxury-villa-ubud-rooftop,bedroom mediterranean luxuri villa ubud rooftop view,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",featur bali vacat rental group friendli stay instagram stay long stay trend properti privat privat pool top trend new,pr0960,202,4,4,4,1,amaz pool amaz view jungl view pool view tropic villa,"Bali Vacation Rental, Group Friendly Stay, Instagramable Stay, Long Stay Trend Property, Private, Private Pool, Top Trending",8,jl suweta ubud kecamatan ubud kabupaten gianyar bali,Bali,Bali,80571,Ubud,Indonesia,villa
https://www.bukitvista.com/property/nusa-dua-seafront-villa,luxuri bedroom nusa dua seafront villa w privat beach,,featur bali vacat rental top trend,pr0242,715,3,,4,,beachfront villa,"Bali Vacation Rental, Top Trending",6,jl raya nusa dua selatan sawangan nusa dua kabupaten badung bali,Bali,Bali,80363,Nusa Dua,Indonesia,villa
https://www.bukitvista.com/property/grand-villa-retreat-w-pool-amp-garden-in-ungasan,grand villa retreat w pool garden ungasan,"Jl. Pantai Balangan I No.9x, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",featur group friendli stay long stay trend properti new list privat pool top trend new,pr0857,84,2,,2,,amaz pool golf pool view villa,"Group Friendly Stay, Long Stay Trend Property, New Listing, Private Pool, Top Trending",4,jl pantai balangan x ungasan kec kuta sel kabupaten badung bali,Bali,Bali,80361,Balangan,Indonesia,villa
https://www.bukitvista.com/property/surfers-villa-4-mins-to-bingin-dreamland-beach-by-bukit-vista,surfer villa min bingin dreamland beach bukit vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",featur long stay trend properti new list privat pool top trend,pr0925,118,2,,2.5,,pool view villa,"Long Stay Trend Property, New Listing, Private Pool, Top Trending",4,jl bangbang metuug pecatu kec kuta sel kabupaten badung bali,Bali,Bali,80361,Pecatu,Indonesia,villa
https://www.bukitvista.com/property/private-pool-villa-minutes-from-bingin-surf-haven-by-bukit-vista,privat pool villa minut bingin surf bukit vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",featur long stay trend properti new list privat pool top trend,pr0925,165,2,,2,,pool view villa,"Long Stay Trend Property, New Listing, Private Pool, Top Trending",4,jl bangbang metuug pecatu kec kuta sel kabupaten badung bali,Bali,Bali,80361,Pecatu,Indonesia,villa
https://www.bukitvista.com/property/ungasan-exquisite-villa-w-rooftop-amp-private-pool-by-bukit-vista,ungasan exquisit villa w rooftop privat pool bukit vista,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",featur group friendli stay new list privat pool top trend,pr0936,167,3,,3.5,,amaz pool golf surf tropic villa,"Group Friendly Stay, New Listing, Private Pool, Top Trending",6,jl pesakapan indah ungasan kec kuta sel kabupaten badung bali,Bali,Bali,80361,Ungasan,Indonesia,villa
https://www.bukitvista.com/property/sun-soaked-canggu-villa-perfect-for-families,sun soak canggu villa perfect famili,"Tibubeneng, Kuta Utara, Badung, Bali, Nusa Tenggara, Indonesia",featur new list privat pool top trend,pr0922,100,2,,2,,villa,"New Listing, Private Pool, Top Trending",4,tibubeneng kuta utara badung bali,Bali,Bali,80361,Canggu,Indonesia,villa
https://www.bukitvista.com/property/sunny-exquisite-umalas-villa-20-minutes-to-canggu,sunni exquisit umala villa minut canggu,,bali vacat rental,pr0901,108,2,,2,,guest hous villa,Bali Vacation Rental,4,jl umala klecung,Bali,Bali,80571,Umalas,Indonesia,villa
https://www.bukitvista.com/property/ubuds-verdant-hideaway-w-pool-garden-views,ubud verdant hideaway w pool garden view,,featur new list top trend,pr0512,34,1,,1,,guest hous,"New Listing, Top Trending",2,jl tirta tawar,Bali,Bali,80571,Ubud,Indonesia,guest house
https://www.bukitvista.com/property/dazzling-villa-with-pool-and-rooftop-in-bingin,dazzl villa pool rooftop bingin,,featur new list top trend,pr0803,202,2,,2,,villa,"New Listing, Top Trending",4,pecatu south kuta badung regenc bali,Bali,Bali,80361,Bingin,Indonesia,villa
https://www.bukitvista.com/property/sun-soaked-2br-villa-w-pool-15-min-ride-to-beach,sun soak br villa w pool min ride beach,"Denpasar, Bali, Nusa Tenggara, Indonesia",bali vacat rental good deal,pr0921,91,2,,2,,villa,"Bali Vacation Rental, Good Deal",4,jalan toya ning ii,Bali,Bali,,Canggu,Indonesia,villa
https://www.bukitvista.com/property/voguish-penthouse-with-rooftop-pool-near-canggu,voguish penthous rooftop pool near canggu,"Denpasar, Bali, Nusa Tenggara, Indonesia",featur new list top trend,pr0929,89,2,,2,,villa,"New Listing, Top Trending",4,jl canggu permai gg rajawali,Bali,Bali,,Canggu,Indonesia,villa
https://www.bukitvista.com/property/artisanal-berawa-villa-11-mins-ride-to-beach,artisan berawa villa min ride beach,"Denpasar, Bali, Nusa Tenggara, Indonesia",bali vacat rental,pr0853,73,2,,2,,villa,Bali Vacation Rental,4,jl abasan gang homey abasan,Bali,Bali,,Canggu,Indonesia,villa
https://www.bukitvista.com/property/ocean-view-eco-dorms-at-nusa-lembongan-hilltop,ocean view eco dorm nusa lembongan hilltop,,bali vacat rental good deal nusa penida vacat rental,pr0782,28,1,,1,,guest hous ocean view,"Bali Vacation Rental, Good Deal, Nusa Penida Vacation Rental",2,cw j banjar ancak nusa lembongan kec nusa penida kabupaten klungkung bali,Nusa Penida,Nusa Penida,80771,Nusa Penida,Indonesia,guest house
https://www.bukitvista.com/property/eco-treehouse-stay-with-lembongan-sea-views,eco treehous stay lembongan sea view,,good deal nusa penida vacat rental,pr0782,18,1,,1,,guest hous ocean view,"Good Deal, Nusa Penida Vacation Rental",1,cw j banjar ancak nusa lembongan kec nusa penida kabupaten klungkung bali,Nusa Penida,Nusa Penida,80771,Nusa Penida,Indonesia,guest house
https://www.bukitvista.com/property/eco-friendly-lodge-w-ocean-view-in-nusa-lembongan,eco friendli lodg w ocean view nusa lembongan,,nusa penida vacat rental freehold,pr0782,18,1,,1,,guest hous ocean view,Nusa Penida Vacation Rental,1,cw j banjar ancak nusa lembongan kec nusa penida kabupaten klungkung bali,Nusa Penida,Nusa Penida,80771,Nusa Penida,Indonesia,guest house
https://www.bukitvista.com/property/breathtaking-hillside-private-cabin-in-lembongan,breathtak hillsid privat cabin lembongan,,good deal nusa penida vacat rental freehold,pr0782,30,1,,1,,guest hous ocean view,"Good Deal, Nusa Penida Vacation Rental",2,cw j banjar ancak nusa lembongan kec nusa penida kabupaten klungkung bali,Nusa Penida,Nusa Penida,80771,Nusa Penida,Indonesia,guest house
https://www.bukitvista.com/property/private-ungasan-hideaway-villa-with-pool-oasis,privat ungasan hideaway villa pool oasi,,featur new list top trend,pr0864,165,1,,1,,villa,"New Listing, Top Trending",2,uluwatu st km gg menesa ungasan kec kuta sel kabupaten badung bali,Bali,Bali,80362,"Badung, Ungasan",Indonesia,villa
https://www.bukitvista.com/property/sunny-tropical-luxe-villa-in-ungasan-with-pool,sunni tropic lux villa ungasan pool,,featur new list top trend,pr0864,172,2,,2,,villa,"New Listing, Top Trending",4,uluwatu st km gg menesa ungasan kec kuta sel kabupaten badung bali,Bali,Bali,80362,"Badung, Ungasan",Indonesia,villa
https://www.bukitvista.com/property/dreamy-haven-w-pool-300m-from-bingin-beach,dreami w pool bingin beach,Villa Kaba by Bukit Vista,featur top trend,pr0858,430,2,,2,,villa,Top Trending,4,v jl pantai bingin pecatu kec kuta sel kabupaten badung bali,Bali,Bali,80361,Badung,Indonesia,villa
https://www.bukitvista.com/property/ungasan-haven-3br-villa-w-private-pool-retreat,ungasan br villa w privat pool retreat,Amerta Puratangi Villa by Bukit Vista,bali vacat rental long stay trend properti,pr0767,2,3,,3.5,,villa,"Bali Vacation Rental, Long Stay Trend Property",6,jl pura tangi ungasan kec kuta sel kabupaten badung bali,Bali,Bali,80361,Ungasan,Indonesia,villa
https://www.bukitvista.com/property/unwind-in-tabanan-remote-jungle-with-infinity-pool,unwind tabanan remot jungl infin pool,,bali vacat rental instagram stay long stay trend properti,pr0774,72,2,,2,,amaz view jungl view residenti tropic view villa,"Bali Vacation Rental, Instagramable Stay, Long Stay Trend Property",4,tabanan bali,Bali,Bali,82121,Canggu,Indonesia,villa
https://www.bukitvista.com/property/peaceful-villa-surrounded-by-rice-fields-in-canggu,villa rice field canggu,"Pura Wates Canggu No.39, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351",featur bali vacat rental long stay trend properti privat pool,pr0776,2,2,4,2,,rice paddi view villa,"Bali Vacation Rental, Long Stay Trend Property, Private Pool",4,pura wate canggu canggu kec kuta utara kabupaten badung bali,Bali,Bali,80351,Canggu,Indonesia,villa
https://www.bukitvista.com/property/secluded-2br-villa-w-pool-complex-in-nusa-dua,luxuri calm villa pool near nusa dua beach,"Jalan Dharmawangsa Kampial, Nusa Dua, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",long stay trend properti top trend,pr0715,2000,2,,2,,view,"Long Stay Trend Property, Top Trending",4,jalan dharmawangsa kampial nusa dua kec kuta sel kabupaten badung bali,Bali,Bali,80361,Nusa Dua,,view
https://www.bukitvista.com/property/modern-breezy-homey-2br-villa-with-pool-near-gwk,group getaway cozi villa w pool near gwk park,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",bali vacat rental group friendli stay long stay trend properti,pr0695,2,2,,2.5,,residenti villa,"Bali Vacation Rental, Group Friendly Stay, Long Stay Trend Property",4,ungasan kec kuta sel kabupaten badung bali,Bali,Bali,80361,Ungasan,Indonesia,villa
https://www.bukitvista.com/property/dainty-villa-w-restful-pool-for-group-at-ungasan,tranquil kutuh villa w pool ideal group,"Jalan Gubug Sari, Kutuh, Kuta Selatan, Badung, Bali, Nusa Tenggara, 80363, Indonesia",bali vacat rental good deal group friendli stay,pr0678,1750,3,,3,,villa,"Bali Vacation Rental, Good Deal, Group Friendly Stay",6,kutuh kec kuta sel kabupaten badung bali,Bali,Bali,80361,Ungasan,,villa
https://www.bukitvista.com/property/spacious-new-tropical-villa-w-gwk-view,spaciou new tropic villa w gwk view,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",bali vacat rental,pr0719,3,3,,3,,view villa,Bali Vacation Rental,6,kutuh kec kuta sel kabupaten badung bali,Bali,Bali,80361,Badung,,villa
https://www.bukitvista.com/property/clean-room-in-jogja-local-authentic-holiday-house,clean room jogja local authent holiday hous,"Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",yogyakarta vacat rental,pr0294,500,1,,1,,guest hous,Yogyakarta Vacation Rental,2,ngupasan kec gondomanan kota yogyakarta daerah istimewa yogyakarta,Yogyakarta,Yogyakarta,55122,Yogyakarta,,guest house
https://www.bukitvista.com/property/3br-javanese-traditional-relaxing-villa-with-pool,br javanes tradit relax villa pool,"Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta, 55284",privat pool yogyakarta vacat rental,pr0704,930,3,,2.5,,villa,"Private Pool, Yogyakarta Vacation Rental",9,sinduadi kec mlati kabupaten sleman daerah istimewa yogyakarta,Yogyakarta,Yogyakarta,55284,Yogyakarta,,villa
https://www.bukitvista.com/property/bukit-vista-heritage-joglo-villa-w-private-pool-2,bukit vista heritag joglo villa w privat pool,"gupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",privat pool yogyakarta vacat rental,pr0697,750,4,,3,,villa,"Private Pool, Yogyakarta Vacation Rental",8,gupasan kec gondomanan kota yogyakarta daerah istimewa yogyakarta,Yogyakarta,Yogyakarta,55122,,,villa
https://www.bukitvista.com/property/prestigious-apartment-w-mt-merapi-view,prestigi apart w mt merapi view,"Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",yogyakarta vacat rental,pr0731,0,1,,1,,guest hous,Yogyakarta Vacation Rental,2,caturtungg kec depok kabupaten sleman daerah istimewa yogyakarta,Yogyakarta,Yogyakarta,55281,Yogyakarta,,guest house
https://www.bukitvista.com/property/stylish-rustic-cabin-in-penida-near-seaside-cafe,stylish rustic cabin penida near seasid cafe,"Jl. Ped - Buyuk, Ped, Nusapenida, Kabupaten Klungkung, Bali 80771",nusa penida vacat rental privat pool,pr0603,24,1,2,1,,guest hous residenti,"Nusa Penida Vacation Rental, Private Pool",,jl ped buyuk ped nusapenida kabupaten klungkung bali,Nusa Penida,Nusa Penida,80771,Nusa Penida,Indonesia,guest house
https://www.bukitvista.com/property/beachfront-bungalow-w-sunset-view,beachfront bungalow w sunset view,"Jl. Ped - Buyuk, Banjar Bodong, Desa Ped, Kec Nusa Penida, Kabupaten Klungkung",nusa penida vacat rental,pr0427,41,1,2,1,,beachfront guest hous residenti,,,jl ped buyuk banjar bodong desa ped kec nusa penida kabupaten klungkung,Nusa Penida,Nusa Penida,,Nusa Penida,Indonesia,guest house
https://www.bukitvista.com/property/once-in-a-lifetime-hilltop-bungalow-experience,lifetim hilltop bungalow experi,"Suana, Nusapenida, Kabupaten Klungkung, Bali 80771",good deal nusa penida vacat rental,pr0371,19,1,2,1,,guest hous residenti,"Good Deal, Nusa Penida Vacation Rental",,suana nusapenida kabupaten klungkung bali,Nusa Penida,Nusa Penida,,Nusa Penida,Indonesia,guest house
https://www.bukitvista.com/property/sunny-cabin-with-green-lawn-for-big-group-7br,bright sunni guesthous green lawn pool,"Jl. Pantai Bingin, Pecatu, Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",group friendli stay long stay trend properti,pr0057,920,1,,1,,guest hous,"Group Friendly Stay, Long Stay Trend Property",2,jl pantai bingin pecatu kuta sel kabupaten badung bali indonesia,Bali,Bali,80361,Bingin,Indonesia,guest house
https://www.bukitvista.com/property/summer-vibe-stay-in-bingin-with-pool-fast-wifi,summer vibe stay bingin pool fast wifi,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",good deal long stay trend properti,pr0694,1,1,,1,,guest hous,"Good Deal, Long Stay Trend Property",2,jl bangbang metuug pecatu kec kuta sel kabupaten badung bali indonesia,Bali,Bali,80361,Bingin,Indonesia,guest house
https://www.bukitvista.com/property/laid-back-uluwatu-bungalow-w-pool-fast-wifi,laid back uluwatu bungalow w pool fast wifi,"Jl. Gn. Tengger, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",long stay trend properti,pr0475,790,1,2,1,,guest hous,Long Stay Trend Property,2,jl gn tengger pecatu kec kuta sel kabupaten badung bali indonesia,Bali,Bali,80361,Uluwatu,Indonesia,guest house
https://www.bukitvista.com/property/bohemian-beachfront-surf-villa-by-bingin-beach,bohemian beachfront surf villa bingin beach,"Jl. Pantai Bingin, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",group friendli stay long stay trend properti,pr0088,5,4,,3,,beachfront residenti villa,"Group Friendly Stay, Long Stay Trend Property",8,jl pantai bingin pecatu kec kuta sel kabupaten badung bali,Bali,Bali,,Bingin,Indonesia,villa
https://www.bukitvista.com/property/bukit-vista-heritage-joglo-villa-w-private-pool,bukit vista heritag joglo villa w privat pool,"Kauman, Yogyakarta",yogyakarta vacat rental,pr0697,100,4,4,3,,residenti style villa,,8,kauman yogyakarta,Yogyakarta,Yogyakarta,,Yogyakarta,Indonesia,villa
https://www.bukitvista.com/property/enjoy-long-stay-in-lovely-villa-by-bukit-vista,bukit vista stun br villa near padang beach,"Pecatu, South Kuta, Badung Regency, Bali 80361, Indonesia",group friendli stay privat remot work friendli hot offer new,pr0529,4,3,,3,,villa,"Group Friendly Stay, Private, Remote Working Friendly",6,pecatu south kuta badung regenc bali indonesia,Bali,Bali,80361,Uluwatu,Indonesia,villa
https://www.bukitvista.com/property/work-from-bali-in-authentic-balinese-villa-pool-by-bukit-vista,quaint homey balines villa w privat pool,"Jalan Anggrek, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",long stay trend properti remot work friendli,pr0092,1,2,2,2,,villa residenti,"Long Stay Trend Property, Remote Working Friendly",4,jalan anggrek jimbaran kec kuta sel kabupaten badung bali,Bali,Bali,,Jimbaran,Indonesia,villa
https://www.bukitvista.com/property/bukit-vista-modern-architecture-villa-for-family,tranquil br villa jimbaran wi fi pool,"Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",group friendli stay instagram stay long stay trend properti privat remot work friendli,pr0417,2,3,,3,,residenti villa,"Group Friendly Stay, Instagramable Stay, Long Stay Trend Property, Private, Remote Working Friendly",6,ungasan kec kuta sel kabupaten badung bali indonesia,Bali,Bali,80361,Jimbaran,Indonesia,villa
https://www.bukitvista.com/property/clean-bright-spacious-room-for-digital-nomad-by-bukit-vista,peac uluwatu cabin w unspoil beach nearbi,"Jalan Gunung Tengger, Pecatu, Kabupaten Badung, Bali",long stay trend properti remot work friendli,pr0494,790,1,1,1,,guest hous,"Long Stay Trend Property, Remote Working Friendly",2,pecatu kec kuta sel kabupaten badung bali indonesia,Bali,Bali,80361,Uluwatu,Indonesia,guest house
https://www.bukitvista.com/property/private-pool-villa-with-harmony-sterilized,love privat pool villa strateg locat,"Jl. Pantai Pererenan Gg. Bima, Pererenan, Mengwi, Badung Regency, Bali 80351",hot offer,pr0424,65,3,3,3,,villa,,6,jl pantai pererenan gg bima pererenan mengwi badung regenc bali,Bali,Bali,80351,Canggu,Indonesia,villa
https://www.bukitvista.com/property/authentic-balinese-cabin-near-beach-by-bukit-vista,authent balines cabin near beach steril,"South Kuta, Bali, Indonesia",bali vacat rental long stay trend properti,pr0513,790,1,,1,,villa,"Long Stay Trend Property, Bali Vacation Rental",,south kuta bali indonesia,Bali,Bali,,Uluwatu,Indonesia,villa
https://www.bukitvista.com/property/villa-santorini-untuk-digital-nomads-oleh-bukit-vista,villa santorini untuk digit nomad oleh bukit vista,,bali vacat rental,31152138,4,1,,1,,villa,,,uluwatu bali,,,,,,villa
https://www.bukitvista.com/property/spacious-villa-with-swimming-pool-for-big-group,famili holiday hous w privat pool jimbaran,"Alang Alang Residence Jimbaran, Jimbaran (Bali), Indonesia, 80361",long stay trend properti,pr0354,3,5,,5,,villa,Long Stay Trend Property,10,alang alang resid jimbaran,Bali,Bali,80361,Jimbaran,Indonesia,villa
https://www.bukitvista.com/property/4br-homey-villa-in-uluwatu-kitchen-wifi-pool,br homey villa uluwatu kitchen wifi pool bukit vista,"Jln Labuhan Sait Br. Dinas Kulat, Pecatu Uluwatu Uluwatu, Pecatu, South Kuta, Badung Regency, Bali 80361",bali vacat rental hot offer,pr0528,4,4,4,4,,villa,Bali Vacation Rental,,jln labuhan sait br dina kulat pecatu uluwatu uluwatu pecatu south kuta badung regenc bali,Bali,Bali,80361,Uluwatu,Indonesia,villa
https://www.bukitvista.com/property/ultimate-serene-cottage-with-ubud-jungle-vibe-by-bukit-vista,picturesqu cottag heart ubud natur,"Peliatan, Ubud, Gianyar, Bali. 80571",bali vacat rental good deal,36539552,890,1,,1,,jungl view villa,"Bali Vacation Rental, Good Deal",,peliatan ubud gianyar bali,Bali,Bali,80571,Ubud,Indonesia,villa
